Source,Target,Weight,type
123,407,0.32036,doc
123,408,0.20643,doc
123,447,0.31955,doc
123,619,0.27406,doc
123,626,0.21581,doc
123,832,0.25017,doc
123,970,0.20046,doc
123,974,0.26924,doc
124,174,0.48581,doc
125,168,0.28937,doc
125,186,0.28216,doc
125,199,0.27945,doc
125,258,0.22366,doc
125,300,0.24513,doc
125,419,0.31352,doc
125,455,0.40401,doc
125,463,0.30288,doc
125,626,0.20338,doc
125,758,0.20698,doc
125,992,0.30637,doc
125,1050,0.29152,doc
126,223,0.91098,doc
126,224,0.88377,doc
126,664,0.77352,doc
128,256,0.20618,doc
128,298,0.28944,doc
128,397,0.21562,doc
128,474,0.31743,doc
128,484,0.24224,doc
130,1117,0.30159,doc
131,186,0.34758,doc
131,199,0.46248,doc
131,258,0.20115,doc
131,419,0.25787,doc
131,463,0.32111,doc
131,626,0.26132,doc
131,758,0.23159,doc
131,934,0.24183,doc
132,134,0.20332,doc
132,136,0.38816,doc
132,152,0.2237,doc
132,158,0.2018,doc
132,159,0.3192,doc
132,197,0.24632,doc
132,405,0.27882,doc
132,406,0.20524,doc
132,706,0.29073,doc
132,1050,0.2246,doc
132,1053,0.21202,doc
132,1150,0.2366,doc
134,136,0.21902,doc
134,153,0.22591,doc
134,159,0.20958,doc
134,168,0.21922,doc
134,403,0.32347,doc
134,486,0.21343,doc
134,705,0.43712,doc
134,706,0.23034,doc
134,817,0.22817,doc
134,1050,0.23497,doc
135,318,0.34372,doc
135,344,0.50908,doc
135,427,0.26861,doc
135,441,0.36725,doc
135,444,0.46995,doc
135,500,0.23934,doc
135,511,0.20291,doc
135,874,0.29399,doc
135,904,0.32721,doc
135,932,0.39645,doc
135,1050,0.21235,doc
135,1156,0.21901,doc
136,142,0.20413,doc
136,144,0.21942,doc
136,148,0.21141,doc
136,151,0.31405,doc
136,152,0.24871,doc
136,153,0.21835,doc
136,158,0.23815,doc
136,159,0.37309,doc
136,163,0.24227,doc
136,168,0.20066,doc
136,195,0.28538,doc
136,276,0.20216,doc
136,458,0.20731,doc
136,706,0.321,doc
136,789,0.20378,doc
136,1050,0.26586,doc
136,1053,0.21678,doc
136,1054,0.21562,doc
136,1150,0.23268,doc
137,332,0.27008,doc
138,139,0.23039,doc
138,156,0.3541,doc
138,165,0.22865,doc
138,279,0.23317,doc
138,764,0.22635,doc
138,792,0.20315,doc
139,142,0.30853,doc
139,171,0.22163,doc
139,313,0.26563,doc
140,584,0.22579,doc
140,873,0.22887,doc
140,1018,0.2522,doc
141,600,0.2073,doc
142,151,0.21243,doc
142,483,0.25056,doc
142,1123,0.21085,doc
143,182,0.60646,doc
143,352,0.53446,doc
144,159,0.20863,doc
144,294,0.21726,doc
144,308,0.21341,doc
144,309,0.57015,doc
144,470,0.37896,doc
144,606,0.23998,doc
144,706,0.308,doc
144,792,0.2492,doc
144,865,0.4938,doc
144,965,0.37383,doc
144,967,0.25645,doc
144,972,0.4942,doc
144,1047,0.31956,doc
145,242,0.23328,doc
145,1040,0.26995,doc
145,1143,0.21512,doc
147,643,0.59073,doc
147,1021,0.29732,doc
147,1081,0.25752,doc
148,331,0.25422,doc
148,454,0.28505,doc
148,459,0.27333,doc
149,966,0.20237,doc
150,296,0.30424,doc
151,175,0.20234,doc
151,337,0.31596,doc
151,383,0.32079,doc
151,399,0.30077,doc
151,472,0.21645,doc
151,675,0.28956,doc
151,756,0.20729,doc
151,1054,0.20926,doc
151,1123,0.25245,doc
152,159,0.24743,doc
152,706,0.22809,doc
152,942,0.23609,doc
152,1050,0.24248,doc
152,1053,0.20533,doc
152,1125,0.23514,doc
152,1128,0.23509,doc
153,158,0.21729,doc
153,159,0.21758,doc
153,162,0.3407,doc
153,168,0.27158,doc
153,240,0.23004,doc
153,258,0.22837,doc
153,279,0.26282,doc
153,300,0.25763,doc
153,315,0.20096,doc
153,330,0.20071,doc
153,455,0.20849,doc
153,512,0.21244,doc
153,634,0.24769,doc
153,706,0.21798,doc
153,707,0.25646,doc
153,731,0.23814,doc
153,909,0.23279,doc
153,963,0.22054,doc
153,966,0.31002,doc
153,1048,0.20278,doc
153,1050,0.24828,doc
153,1075,0.20457,doc
156,159,0.39258,doc
156,163,0.28361,doc
156,165,0.20625,doc
156,179,0.20307,doc
156,205,0.20706,doc
156,213,0.24949,doc
156,246,0.25026,doc
156,248,0.30843,doc
156,276,0.20184,doc
156,282,0.40839,doc
156,326,0.24576,doc
156,382,0.3936,doc
156,438,0.24195,doc
156,451,0.22791,doc
156,622,0.45049,doc
156,628,0.22487,doc
156,764,0.21887,doc
156,964,0.29071,doc
156,1042,0.2397,doc
156,1152,0.28129,doc
157,249,0.21632,doc
157,385,0.37442,doc
158,159,0.23466,doc
158,170,0.36912,doc
158,706,0.30642,doc
158,1050,0.21454,doc
159,163,0.35727,doc
159,168,0.20221,doc
159,248,0.25675,doc
159,282,0.28884,doc
159,382,0.31235,doc
159,451,0.21952,doc
159,622,0.3937,doc
159,628,0.24519,doc
159,706,0.29372,doc
159,1050,0.27284,doc
159,1053,0.22367,doc
159,1152,0.20432,doc
160,164,0.22112,doc
160,252,0.57919,doc
160,253,0.30605,doc
160,286,0.67929,doc
160,462,0.23754,doc
160,531,0.22752,doc
161,209,0.3623,doc
161,285,0.35567,doc
161,616,0.20524,doc
161,796,0.20087,doc
161,988,0.34135,doc
162,240,0.23558,doc
162,707,0.2041,doc
162,788,0.21411,doc
162,966,0.33987,doc
162,973,0.27967,doc
163,205,0.23307,doc
163,213,0.31669,doc
163,246,0.27437,doc
163,248,0.36319,doc
163,253,0.2021,doc
163,282,0.34802,doc
163,341,0.21923,doc
163,382,0.39046,doc
163,438,0.22488,doc
163,451,0.22846,doc
163,622,0.43,doc
163,628,0.20147,doc
163,964,0.33323,doc
164,252,0.24185,doc
164,286,0.22757,doc
165,767,0.31343,doc
166,386,0.74608,doc
166,569,0.48085,doc
166,635,0.64972,doc
166,673,0.46733,doc
166,956,0.53652,doc
166,969,0.28598,doc
166,1069,0.44121,doc
166,1111,0.32055,doc
166,1170,0.39717,doc
166,1190,0.59784,doc
167,584,0.23458,doc
168,186,0.20852,doc
168,199,0.22315,doc
168,300,0.24097,doc
168,340,0.26609,doc
168,419,0.37079,doc
168,455,0.39598,doc
168,512,0.20151,doc
168,706,0.20695,doc
168,758,0.3667,doc
168,992,0.22537,doc
168,1050,0.32324,doc
168,1057,0.24583,doc
168,1075,0.22194,doc
169,433,0.29228,doc
169,508,0.24397,doc
169,735,0.73456,doc
170,308,0.31994,doc
170,603,0.2777,doc
170,608,0.22505,doc
170,706,0.20164,doc
170,803,0.20006,doc
170,970,0.26584,doc
171,214,0.20461,doc
171,217,0.23737,doc
171,313,0.4895,doc
171,381,0.21379,doc
174,1114,0.20286,doc
175,178,0.28589,doc
175,483,0.2251,doc
177,238,0.35545,doc
177,957,0.23741,doc
177,960,0.21451,doc
178,708,0.23867,doc
178,1183,0.26256,doc
179,246,0.20094,doc
179,282,0.21474,doc
179,382,0.20723,doc
179,438,0.216,doc
179,555,0.20074,doc
179,622,0.28453,doc
179,964,0.21031,doc
179,1042,0.23544,doc
179,1114,0.20969,doc
180,239,0.27088,doc
181,401,0.33206,doc
181,709,0.45517,doc
182,352,0.51932,doc
183,429,0.34708,doc
183,479,0.37153,doc
183,598,0.53501,doc
183,860,0.77824,doc
183,905,0.34,doc
183,1153,0.28179,doc
186,199,0.58421,doc
186,228,0.20696,doc
186,258,0.26527,doc
186,419,0.29684,doc
186,455,0.24877,doc
186,463,0.45548,doc
186,626,0.28794,doc
187,631,0.2562,doc
187,1088,0.20762,doc
188,504,0.28061,doc
188,563,0.31454,doc
188,738,0.212,doc
188,1044,0.43531,doc
188,1122,0.23441,doc
188,1165,0.24617,doc
188,1186,0.24171,doc
190,193,0.2179,doc
190,197,0.2592,doc
190,356,0.33436,doc
191,484,0.23903,doc
191,628,0.22397,doc
191,1175,0.21353,doc
191,1178,0.21144,doc
192,195,0.27797,doc
193,195,0.21708,doc
193,197,0.35553,doc
195,756,0.20563,doc
195,1024,0.23393,doc
196,399,0.20608,doc
197,302,0.21929,doc
197,356,0.25775,doc
197,448,0.32423,doc
197,692,0.27939,doc
197,856,0.30417,doc
197,864,0.22018,doc
197,902,0.37426,doc
197,984,0.23475,doc
197,1061,0.32046,doc
197,1139,0.22929,doc
197,1144,0.22141,doc
199,258,0.30721,doc
199,301,0.21167,doc
199,419,0.3866,doc
199,455,0.28018,doc
199,463,0.56048,doc
199,602,0.2485,doc
199,626,0.39618,doc
199,758,0.29353,doc
199,881,0.20236,doc
199,934,0.30022,doc
199,1198,0.24941,doc
200,363,0.27737,doc
200,385,0.20959,doc
200,984,0.21161,doc
203,222,0.27979,doc
203,674,0.2605,doc
203,746,0.39366,doc
203,759,0.27698,doc
203,788,0.2925,doc
203,798,0.5781,doc
203,801,0.65081,doc
203,911,0.33612,doc
203,917,0.26115,doc
203,935,0.42186,doc
203,1002,0.22506,doc
203,1107,0.33229,doc
203,1131,0.48717,doc
203,1151,0.28524,doc
205,213,0.23993,doc
205,248,0.2241,doc
205,282,0.2191,doc
205,382,0.23947,doc
205,622,0.27527,doc
206,447,0.21099,doc
206,734,0.83453,doc
209,285,0.29086,doc
209,679,0.29684,doc
209,796,0.24214,doc
209,988,0.56457,doc
210,738,0.29182,doc
210,745,0.26861,doc
210,1044,0.21749,doc
210,1165,0.24189,doc
211,952,0.27136,doc
212,294,0.2761,doc
212,470,0.22253,doc
212,831,0.21605,doc
213,246,0.32625,doc
213,248,0.28533,doc
213,282,0.28525,doc
213,382,0.30996,doc
213,438,0.21328,doc
213,451,0.27234,doc
213,622,0.35915,doc
213,964,0.29326,doc
214,313,0.21559,doc
215,1091,0.2066,doc
216,279,0.20748,doc
216,330,0.20756,doc
217,313,0.24303,doc
217,873,0.22241,doc
217,1124,0.22085,doc
217,1165,0.21931,doc
218,417,0.34181,doc
219,242,0.22343,doc
219,256,0.25633,doc
219,257,0.28643,doc
219,265,0.21004,doc
219,277,0.21065,doc
219,447,0.24246,doc
219,623,0.24708,doc
219,626,0.21554,doc
219,627,1.0,doc
219,887,0.20569,doc
219,1053,0.21635,doc
219,1097,0.21191,doc
219,1140,0.34105,doc
219,1143,0.20189,doc
220,270,0.27336,doc
220,389,0.20462,doc
220,397,0.25776,doc
221,300,0.23647,doc
221,379,0.24761,doc
222,746,0.22233,doc
222,759,0.46684,doc
222,798,0.41137,doc
222,801,0.31312,doc
222,935,0.30812,doc
222,1060,0.23078,doc
222,1107,0.21912,doc
222,1131,0.36487,doc
222,1151,0.28857,doc
222,1171,0.21898,doc
223,224,0.83859,doc
223,664,0.70653,doc
224,664,0.80859,doc
225,278,0.21334,doc
225,816,0.21035,doc
225,1126,0.2089,doc
226,232,0.22362,doc
227,234,0.21053,doc
227,262,0.24087,doc
227,266,0.6511,doc
227,449,0.55548,doc
227,730,0.63509,doc
227,731,0.22847,doc
227,832,0.21602,doc
227,909,0.34585,doc
228,244,0.20945,doc
228,258,0.3469,doc
228,398,0.27021,doc
228,447,0.25068,doc
228,455,0.28169,doc
228,619,0.24002,doc
228,623,0.20124,doc
228,626,0.28169,doc
228,938,0.27177,doc
228,974,0.24889,doc
228,976,0.21739,doc
228,992,0.23647,doc
228,1057,0.31031,doc
228,1074,0.28189,doc
228,1075,0.20177,doc
228,1076,0.23453,doc
229,234,0.3751,doc
230,232,0.28655,doc
230,258,0.29231,doc
230,259,0.24392,doc
230,324,0.25276,doc
231,232,0.23596,doc
231,258,0.26491,doc
231,828,0.32619,doc
232,233,0.21381,doc
232,234,0.29008,doc
232,255,0.21057,doc
232,258,0.23024,doc
232,719,0.21334,doc
232,970,0.26427,doc
233,234,0.22632,doc
233,239,0.22812,doc
233,243,0.20166,doc
234,239,0.20347,doc
235,237,0.2264,doc
235,257,0.2566,doc
235,408,0.21196,doc
235,1140,0.21435,doc
237,259,0.2641,doc
238,239,0.22531,doc
238,957,0.34281,doc
238,960,0.32313,doc
239,241,0.21903,doc
239,243,0.2694,doc
239,255,0.2011,doc
239,379,0.22485,doc
239,380,0.20466,doc
239,403,0.20426,doc
239,486,0.20301,doc
239,624,0.20245,doc
239,719,0.20582,doc
239,720,0.20685,doc
239,721,0.26752,doc
239,722,0.2688,doc
239,939,0.27816,doc
239,970,0.21332,doc
239,1145,0.23699,doc
240,354,0.21639,doc
240,634,0.24009,doc
240,731,0.27664,doc
240,909,0.22184,doc
240,966,0.36756,doc
241,243,0.237,doc
241,245,0.2038,doc
241,248,0.25005,doc
241,250,0.20137,doc
241,253,0.24812,doc
241,255,0.20996,doc
241,453,0.24213,doc
241,719,0.20232,doc
241,721,0.28543,doc
241,808,0.25754,doc
241,1145,0.23845,doc
242,252,0.29327,doc
242,439,0.2065,doc
242,462,0.31285,doc
242,613,0.21737,doc
242,627,0.22343,doc
242,699,0.20747,doc
242,700,0.26693,doc
242,807,0.28239,doc
242,887,0.70558,doc
242,1078,0.25294,doc
242,1140,0.38411,doc
242,1143,0.59232,doc
243,255,0.22378,doc
243,262,0.20105,doc
243,453,0.21593,doc
243,719,0.26927,doc
243,721,0.32444,doc
243,724,0.22412,doc
243,1074,0.22299,doc
243,1109,0.23099,doc
243,1145,0.25531,doc
244,245,0.40869,doc
244,257,0.22243,doc
244,258,0.25517,doc
244,259,0.35576,doc
244,329,0.24899,doc
244,398,0.3077,doc
244,407,0.26484,doc
244,408,0.37746,doc
244,436,0.29262,doc
244,447,0.3714,doc
244,619,0.28792,doc
244,623,0.50036,doc
244,626,0.2607,doc
244,690,0.38516,doc
244,714,0.22534,doc
244,724,0.20033,doc
244,726,0.29705,doc
244,974,0.22594,doc
244,1053,0.36831,doc
244,1097,0.29796,doc
244,1140,0.21326,doc
244,1155,0.28469,doc
245,246,0.2644,doc
245,248,0.23218,doc
245,250,0.22279,doc
245,253,0.21571,doc
245,256,0.30137,doc
245,258,0.20972,doc
245,259,0.2269,doc
245,364,0.25482,doc
245,432,0.22773,doc
245,447,0.21349,doc
245,453,0.23202,doc
245,623,0.26386,doc
245,690,0.2165,doc
245,701,0.20845,doc
245,721,0.21241,doc
245,726,0.21702,doc
245,1097,0.25552,doc
246,248,0.44516,doc
246,250,0.25198,doc
246,253,0.22911,doc
246,276,0.20415,doc
246,282,0.30363,doc
246,382,0.29383,doc
246,438,0.22021,doc
246,451,0.21223,doc
246,622,0.39428,doc
246,964,0.30072,doc
246,1042,0.24746,doc
246,1072,0.20278,doc
247,250,0.26876,doc
247,270,0.20997,doc
247,389,0.45936,doc
247,397,0.24444,doc
247,1149,0.27766,doc
247,1197,0.24832,doc
248,253,0.35347,doc
248,282,0.39385,doc
248,326,0.2027,doc
